Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776102575,10,,Aggregated,4.800000,4.100000,330,390,500,550,690,910,1100,1200,1700,1700,1700,259,81,330,336.11828655060236,1.8602909985929728,1679.0455000009388,4947.196911196911
1776102576,10,,Aggregated,4.700000,4.600000,330,390,460,550,690,860,1100,1200,1700,1700,1700,265,87,330,328.58167912674855,1.8602909985929728,1679.0455000009388,4837.018867924528
1776102577,10,,Aggregated,4.800000,4.800000,320,390,450,540,690,860,1100,1200,1700,1700,1700,270,92,320,322.56373692071065,1.8602909985929728,1679.0455000009388,4748.944444444444
1776102578,10,,Aggregated,4.800000,4.800000,320,390,450,540,680,860,1100,1200,1700,1700,1700,277,99,320,314.4970231971935,1.8602909985929728,1679.0455000009388,4630.9819494584835
1776102579,10,,Aggregated,4.700000,4.700000,320,390,450,540,680,860,1100,1200,1700,1700,1700,279,101,320,312.2623438156614,1.8602909985929728,1679.0455000009388,4598.365591397849
1776102580,10,,Aggregated,5.000000,5.000000,310,380,450,540,670,860,1100,1200,1700,1700,1700,285,107,310,305.7547111354213,1.8602909985929728,1679.0455000009388,4503.263157894737
1776102581,10,,Aggregated,5.200000,5.200000,310,380,440,530,670,860,1100,1200,1700,1700,1700,289,111,310,301.5737566528165,1.8602909985929728,1679.0455000009388,4442.0553633218
1776102582,10,,Aggregated,4.800000,4.800000,310,380,440,530,660,860,1100,1200,1700,1700,1700,294,116,300,296.5025789649653,1.8602909985929728,1679.0455000009388,4367.8877551020405
1776102583,10,,Aggregated,5.200000,5.200000,300,370,440,520,660,860,1100,1200,1700,1700,1700,300,122,300,290.6359879428055,1.8602909985929728,1679.0455000009388,4282.15
1776102584,10,,Aggregated,5.000000,5.000000,300,370,420,520,650,850,1000,1100,1700,1700,1700,304,126,300,286.8595405948566,1.8602909985929728,1679.0455000009388,4226.871710526316
1776102585,10,,Aggregated,5.000000,5.000000,300,370,420,520,650,850,1000,1100,1700,1700,1700,310,132,290,281.36962475743326,1.8602909985929728,1679.0455000009388,4146.629032258064
1776102586,10,,Aggregated,5.100000,5.100000,290,370,420,520,640,850,1000,1100,1700,1700,1700,315,137,290,276.9634419549552,1.8602909985929728,1679.0455000009388,4082.095238095238
1776102587,10,,Aggregated,5.000000,5.000000,290,370,410,520,640,850,1000,1100,1700,1700,1700,317,139,290,275.23511818871606,1.8602909985929728,1679.0455000009388,4056.8517350157726
1776102588,10,,Aggregated,5.100000,5.100000,280,370,410,500,620,800,1000,1100,1700,1700,1700,325,147,280,268.54127335648695,1.8602909985929728,1679.0455000009388,3958.9846153846156
1776102589,10,,Aggregated,5.000000,5.000000,280,360,410,490,620,800,1000,1100,1700,1700,1700,328,150,280,266.11142138994535,1.8602909985929728,1679.0455000009388,3923.515243902439
1776102590,10,,Aggregated,4.600000,4.600000,270,360,410,460,620,800,1000,1100,1700,1700,1700,334,156,270,261.38507025396524,1.8602909985929728,1679.0455000009388,3854.488023952096
1776102591,10,,Aggregated,4.800000,4.800000,270,360,400,450,620,800,1000,1100,1700,1700,1700,341,163,270,256.09141852449943,1.8602909985929728,1679.0455000009388,3777.026392961877
1776102592,10,,Aggregated,4.900000,4.900000,270,350,400,450,620,800,1000,1100,1700,1700,1700,344,166,270,253.88864803718144,1.8602909985929728,1679.0455000009388,3744.7936046511627
1776102593,10,,Aggregated,4.800000,4.800000,270,350,400,450,620,800,1000,1100,1700,1700,1700,348,170,270,251.01794027800312,1.8602909985929728,1679.0455000009388,3702.6810344827586
1776102594,10,,Aggregated,5.200000,5.200000,250,350,390,450,620,800,980,1100,1700,1700,1700,355,177,250,246.1268862922558,1.8602909985929728,1679.0455000009388,3631.2676056338028
1776102595,10,,Aggregated,5.000000,5.000000,230,340,390,450,620,800,980,1100,1700,1700,1700,360,182,11,242.7504721298141,1.8602909985929728,1679.0455000009388,3581.9583333333335
1776102596,10,,Aggregated,4.800000,4.800000,7,340,390,440,620,790,980,1100,1700,1700,1700,363,185,7,240.76984208202268,1.8602909985929728,1679.0455000009388,3553.0247933884298
1776102597,10,,Aggregated,5.000000,5.000000,6,340,390,440,620,790,980,1100,1700,1700,1700,370,192,6,236.28573640221353,1.8602909985929728,1679.0455000009388,3487.337837837838
1776102598,10,,Aggregated,5.000000,5.000000,6,330,390,420,620,790,980,1100,1700,1700,1700,377,199,6,231.9564606837832,1.8602909985929728,1679.0455000009388,3424.0901856763926
1776102599,10,,Aggregated,4.800000,4.800000,5,330,390,420,620,790,980,1100,1700,1700,1700,380,202,5,230.1547282099675,1.8602909985929728,1679.0455000009388,3397.6973684210525
1776102600,10,,Aggregated,5.400000,5.400000,5,330,390,420,610,780,980,1100,1700,1700,1700,381,202,5,230.95020322523902,1.8602909985929728,1679.0455000009388,3411.9816272965877
1776102601,10,,Aggregated,5.200000,5.200000,6,330,390,440,620,800,980,1100,1700,1700,1700,385,203,6,234.86249721745125,1.8602909985929728,1679.0455000009388,3403.607792207792
1776102602,10,,Aggregated,5.100000,5.100000,6,340,390,450,620,810,1100,1400,1700,1700,1700,387,203,6,242.07235963245643,1.8602909985929728,1679.0455000009388,3388.968992248062
